material_id,Date,Demand,Year,Month,mom_growth,yoy_growth,CV,Safety_Stock,Unrestricted,Material_Lead_Time,Moving_price,High_Lead_Time_Flag,Lead_Time_Category,XYZ_Class,Reorder_Point,ABC_Class
596791,2023-10-01,0,2023,Oct,0.0,0.0,0.0,3.0,19.0,31.0,3494.37,0,Medium,X,3.0,C
597401,2023-10-01,2,2023,Oct,0.0,0.0,0.0,1.0,2.0,50.0,182869.18,0,Long,X,4.3333,A
597570,2023-10-01,48,2023,Oct,0.0,0.0,0.0,100.0,717.0,28.0,9.95,0,Medium,X,144.8,C
597628,2023-10-01,1,2023,Oct,0.0,0.0,0.0,1.0,12.0,31.0,5554.8,0,Medium,X,2.0333,C
597904,2023-10-01,12,2023,Oct,0.0,0.0,0.0,5.0,573.0,67.0,1.36,1,Long,X,31.8,C
598004,2023-10-01,37,2023,Oct,0.0,0.0,0.0,40.0,34.0,33.0,668.28,0,Medium,X,80.7,B
598261,2023-10-01,18,2023,Oct,0.0,0.0,0.0,30.0,32.0,93.0,42.74,1,Very Long,X,85.8,C
598425,2023-10-01,0,2023,Oct,0.0,0.0,0.0,4.0,23.474,35.0,3167.24,0,Medium,X,4.0,C
598680,2023-10-01,57,2023,Oct,0.0,0.0,0.0,25.0,40.0,28.0,75.99,0,Medium,X,78.2,C
598910,2023-10-01,113,2023,Oct,0.0,0.0,0.0,100.0,148.0,67.0,125.75,1,Long,X,352.3667,C
599079,2023-10-01,1,2023,Oct,0.0,0.0,0.0,4.0,2.0,38.0,11576.08,0,Medium,X,5.2667,C
599845,2023-10-01,0,2023,Oct,0.0,0.0,0.0,1.0,9.0,48.0,350.0,0,Long,X,1.0,C
599960,2023-10-01,7,2023,Oct,0.0,0.0,0.0,15.0,15.0,33.0,204.0,0,Medium,X,22.7,C
600551,2023-10-01,0,2023,Oct,0.0,0.0,0.0,1.0,11.0,18.0,898.83,0,Short,X,1.0,C
600646,2023-10-01,4,2023,Oct,0.0,0.0,0.0,4.0,0.0,77.0,374684.93,1,Long,X,14.2667,A
600737,2023-10-01,1,2023,Oct,0.0,0.0,0.0,30.0,6.0,18.0,933.83,0,Short,X,30.6,C
600895,2023-10-01,246,2023,Oct,0.0,0.0,0.0,200.0,479.0,21.0,72.97,0,Medium,X,372.2,B
601022,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,4.0,33.0,349.52,0,Medium,X,2.0,C
602331,2023-10-01,0,2023,Oct,0.0,0.0,0.0,5.0,0.0,23.0,60.0,0,Medium,X,5.0,C
602596,2023-10-01,67,2023,Oct,0.0,0.0,0.0,30.0,0.0,38.0,25885.53,0,Medium,X,114.8667,A
602706,2023-10-01,0,2023,Oct,0.0,0.0,0.0,20.0,20.0,8.0,4848.97,0,Short,X,20.0,C
603872,2023-10-01,0,2023,Oct,0.0,0.0,0.0,1.0,4.0,23.0,415.05,0,Medium,X,1.0,C
603999,2023-10-01,1,2023,Oct,0.0,0.0,0.0,3.0,2.0,45.0,11627.64,0,Long,X,4.5,C
604049,2023-10-01,39,2023,Oct,0.0,0.0,0.0,130.0,1219.576,38.0,251.83,0,Medium,X,179.4,C
605020,2023-10-01,31,2023,Oct,0.0,0.0,0.0,50.0,33.0,38.0,107.06,0,Medium,X,89.2667,C
605726,2023-10-01,0,2023,Oct,0.0,0.0,0.0,15.0,25.0,48.0,3014.27,0,Long,X,15.0,C
606042,2023-10-01,0,2023,Oct,0.0,0.0,0.0,3.0,6.0,17.0,530.0,0,Short,X,3.0,C
606070,2023-10-01,5,2023,Oct,0.0,0.0,0.0,20.0,27.0,57.0,290.25,0,Long,X,29.5,C
606298,2023-10-01,178,2023,Oct,0.0,0.0,0.0,300.0,1000.254,18.0,426.55,0,Short,X,406.8,B
606409,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,2.0,24.0,924.0,0,Medium,X,2.0,C
607203,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,4.3,10.0,2278.99,0,Short,X,2.0,C
607460,2023-10-01,2,2023,Oct,0.0,0.0,0.0,10.0,14.0,23.0,950.0,0,Medium,X,11.5333,C
608086,2023-10-01,2,2023,Oct,0.0,0.0,0.0,10.0,18.0,10.0,1420.0,0,Short,X,10.6667,C
608654,2023-10-01,0,2023,Oct,0.0,0.0,0.0,10.0,34.0,31.0,794.34,0,Medium,X,10.0,C
608850,2023-10-01,1,2023,Oct,0.0,0.0,0.0,1.0,1.0,10.0,500.0,0,Short,X,1.3333,C
609008,2023-10-01,9,2023,Oct,0.0,0.0,0.0,300.0,883.86,67.0,7.75,1,Long,X,320.1,C
609568,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,9.0,50.0,6269.37,0,Long,X,2.0,C
609864,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,4.0,38.0,8380.0,0,Medium,X,2.0,C
609933,2023-10-01,0,2023,Oct,0.0,0.0,0.0,100.0,148.0,21.0,1.99,0,Medium,X,100.0,C
610041,2023-10-01,3,2023,Oct,0.0,0.0,0.0,15.0,5.0,35.0,12290.8,0,Medium,X,18.5,B
610257,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,10.0,31.0,2744.22,0,Medium,X,2.0,C
610422,2023-10-01,0,2023,Oct,0.0,0.0,0.0,1.0,2.0,50.0,101696.54,0,Long,X,1.0,C
610587,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,0.0,18.0,370.0,0,Short,X,2.0,C
611002,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,4.0,33.0,729.0,0,Medium,X,2.0,C
611011,2023-10-01,1,2023,Oct,0.0,0.0,0.0,4.0,0.0,17.0,2275.0,0,Short,X,4.5667,C
611281,2023-10-01,0,2023,Oct,0.0,0.0,0.0,5.0,16.0,18.0,573.88,0,Short,X,5.0,C
611928,2023-10-01,0,2023,Oct,0.0,0.0,0.0,10.0,9.0,21.0,2261.72,0,Medium,X,10.0,C
612016,2023-10-01,1,2023,Oct,0.0,0.0,0.0,200.0,500.0,10.0,1.24,0,Short,X,200.3333,C
612415,2023-10-01,7,2023,Oct,0.0,0.0,0.0,2.0,0.0,77.0,62243.13,1,Long,X,19.9667,A
612674,2023-10-01,1,2023,Oct,0.0,0.0,0.0,10.0,25.0,50.0,2064.6,0,Long,X,11.6667,C
614413,2023-10-01,52,2023,Oct,0.0,0.0,0.0,50.0,96.0,14.0,217.27,0,Short,X,74.2667,C
614946,2023-10-01,24,2023,Oct,0.0,0.0,0.0,5.0,86.0,10.0,274.5,0,Short,X,13.0,C
615053,2023-10-01,0,2023,Oct,0.0,0.0,0.0,25.0,25.0,45.0,35893.35,0,Long,X,25.0,C
615094,2023-10-01,2,2023,Oct,0.0,0.0,0.0,2.0,2.0,60.0,5872.12,1,Long,X,6.0,C
615365,2023-10-01,8,2023,Oct,0.0,0.0,0.0,10.0,17.0,50.0,59.15,0,Long,X,23.3333,C
